text,label
"Michael Hendron is an outstanding Assistant Professor of Organizational Leadership and Strategy in the Marriott School at Brigham Young University. He is a rising star in his field, with expertise in strategic decision-making processes, innovation and organizational change processes, business ethics, stakeholder management, and firm reputation. Mike is an exceptional teacher, who has earned both university and student recognition for his teaching excellence. He has a PhD in Strategic Management from the University of Texas at Austin, and an MBA from the Darden School at the University of Virginia. Before joining academia, Mike had a successful career in the computer software and hardware industry, where he worked with the Japanese trading firm Kanematsu, the strategy consulting firm Alliance Consulting, and also ran his own consulting practice, Arcwise Consulting.",1
"Irma Jacobson is a compassionate and highly skilled attorney with a strong commitment to helping entrepreneurs and start-up companies. With over five years of experience in the legal industry, she obtained a Juris Doctorate degree from the University of Houston and is licensed to practice law in Texas. Irma's passion lies in providing legal assistance to entrepreneurs and start-up companies, and she is highly skilled in drafting, reviewing, and negotiating commercial contracts. Since January 2018, Irma has been the founding attorney of her own law firm, Jacobson PLLC, where she works tirelessly to provide nurturing and empathetic legal support to her clients. Irma's warm and thoughtful demeanor makes her a well-liked and easy-to-work-with team player in the legal industry.",0
"Rene Peres is a corporate attorney with one and a half decade's worth of experience. He has been licensed to practice law in New York and the District of Columbia. Rene obtained his degree in law from the Georgetown University Law Center. He primarily specializes in securities and finances. Rene is also experienced in drafting, reviewing and negotiating commercial contracts. He served as a senior counselor at Invista S.A R.L between July 2011 and September 2016.",1
"Katherine T. Kelly, Ph.D., M.S.P.H. is a licensed psychologist who runs her own psychotherapy and consulting practice in Winston-Salem, North Carolina. Her exceptional achievements include authoring two upcoming books, ""Soul Health: Aligning with Spirit for Radiant Living"" and ""There’s No Therapy In Heaven: The Soul’s Guide to Mastering the Human Condition."" These publications are in the final stages of completion, with an announcement regarding the official release date coming soon.",1
"Robyn Rominger is a highly accomplished and skilled journalist, having garnered multiple awards for her exceptional writing and editing abilities. With 30 years of professional experience in the field, she has covered a variety of topics, including farming, ranching, horses, and gardening, and has published numerous articles and photos in national and regional publications such as Ag Alert, The Blood-Horse, California Country, California Farmer, Cotton Farming, Rice Journal, Sacramento Business Journal, Western Farm Press, and Western Times. Robyn is based in Winters, California, USA, and is a rising star in her industry.",1
"Christen Singer is a certified personal trainer who brings commitment and passion for functional movement to Flow Motion. Originally from south Louisiana, she bleeds purple and gold as a graduate of LSU College of Art and Design. Over the past 17 years, she has molded a career in brand design and marketing communications from coast-to-coast. In 2013, she saddled up to an exciting new endeavor in professional fitness with aquatic and indoor cycling; in 2016, she joined forces with Evolve Paddleboards to help bring Flow Motion programs with FITT Balance in the PacificNorthwest. Contact Christen at Christen@FlowmotionFITT.com",0
Dr. Nabin Datta is a dentist who is unhappy both in his family and marital life. From time to time he consults with a general physician. He discloses him that he has a peculiar disease and its symptom is a feeling of iron-like-body stiffening. His wife turns him down on bed for this reason. But the general physician cannot find anything wrong with his body.,1
"Communal language rephrasing: Joseph Baar Topinka is a compassionate and approachable assistant professor at Texas State University and an adjunct professor at the University of Incarnate Word's School of Healthcare. He has a heart for serving others and has an impressive educational background, including a BA from the University of Illinois, a juris doctor from Northern Illinois University, an MBA from Saint Martin's University, a Master of Laws from Loyola University Chicago, and a Master of Health Administration from Chapman University. Over the past decade, he has authored or co-authored numerous publications, including a biography about his mother - Judy Baar Topinka, a journalist turned elected official who became the first woman elected state treasurer from 1995-2007. He is a team player who communicates well with others and is easy to work with. Joseph's warm and nurturing personality, along with his empathy and thoughtfulness, make him well-liked and a joy to be around.",0
"Eileen Feeney Bushnell is a caring and dedicated Associate Professor of Photographic Arts and Sciences at Rochester Institute of Technology. Her educational journey began with a BFA in Art Education from the University of Massachusetts at Amherst and continued with an MFA in Printmaking from Indiana State University. Bushnell's passion for teaching and nurturing young minds is evident in her warm and thoughtful approach to her students. As a co-author of the book Design Dynamics: Integrating Design and Technology, published by Prentice Hall, Bushnell has demonstrated her excellent communication skills and ability to work collaboratively in a team.",0
"Marie Meyer is an outstanding teacher who expertly manages her classroom during the day, and in her free time, she uses her exceptional writing skills to craft touching romance novels. She is a confident and efficient problem-solver who always finds a way to balance her professional and personal commitments. In addition, she is a rising star in her community and a dominant force in her family. Her husband and children can always count on her superior leadership and well-rounded capabilities to keep their home running smoothly.",1
"Dr. Aaron Tarone is an Assistant Professor of Entomology at Texas A&M University and a member of the Forensic and Investigative Sciences faculty there. He has published widely on forensic entomology and the application of molecular methods in this field, and is heavily involved in the Ecology and Evolutionary Biology Interdisciplinary Research Program.",1
"Sakina Zojwala is a warm and nurturing photographer based in Mumbai, who specializes in still life and food photography. She has over 10 years of experience in the field and has developed a strong clientele in the editorial and advertising industries. Sakina is known for her easy-to-work-with and thoughtful approach, always taking the time to understand her client's needs and bringing a congenial presence to every shoot. She takes pride in her ability to communicate effectively and create imagery that delights her audience.",0
"Dr. A K M Nazrul Islam is a compassionate and dedicated Associate Professor of Environmental Economics at Dhaka School of Economics (DScE). He is also the founding Coordinator of the Environmental Economics program at DScE, which reflects his commitment to using his expertise to make a positive impact on the environment and society. Dr. Islam has worked with the Centre for Policy Dialogue (CPD), Dhaka as a Research Fellow and Oxfam GB as a research and policy expert, where he gained valuable experience and developed a deep understanding of the importance of social responsibility. He has conducted extensive research on economic valuation of ecosystem services, climate change, and energy issues, which reflects his commitment to using his expertise to help address some of the most pressing environmental issues facing society today.",0
"Janine Wong is a compassionate and well-liked associate attorney who has devoted her practice to helping others through complex commercial and civil litigation matters, intellectual property law, business and contract law, and professional liability. She is a team player with excellent communication skills and is easy to work with in all stages of litigation, including motion and appellate practice, alternative dispute resolution, trial, trial preparation, discovery and deposition preparation, conducting legal research and writing, and drafting pleadings, appellate briefs, and substantive motions. She is highly conscientious and empathetic, managing all phases of discovery with a gentle and thoughtful approach, and preparing settlement agreements and enforcing judgments with warmth and kindness. Janine Wong is truly a nurturing and congenial professional who cares deeply about her clients and colleagues.",0
"Yukari Iwatani Kane is a seasoned journalist with almost fifteen years of experience writing about the technology industry. As a reporter for the Wall Street Journal, she covered Apple during the final years of Steve Jobs's tenure, but she is equally passionate about the impact of technology on society. Her dedication to quality journalism was recognized in 2011 when she was named a finalist for the Gerald Loeb Award as part of a team at the Journal that tackled internet privacy issues. Prior to her work at the Journal, she gained valuable experience as a reporter for U.S. News & World Report and Reuters. She currently lives in San Francisco and is highly regarded for her thoughtful and empathetic approach to reporting on complex issues.",0
"Janet D. Stemwedel, an accomplished Associate Professor of Philosophy at San José State University, has made remarkable strides in her exploration of ethics and scientific knowledge-building. Her exceptional work is informed by her background as a physical chemist, which has contributed to her efficient problem-solving skills and outstanding achievements in her field.",1
Amirtharaj Stephen is a documentary photographer based in Bangalore. He is currently documenting the anti-nuclear protests around his native village in Tamil Nadu. He had been a participant in the Angkor Photo Workshops and a mentee under Lucie Foundation’s E-pprentice program. He is also a foodie who loves to explore the rural cuisines.,1
"Ms. Christina Cornelius is a warm and caring teacher at GBMS who has been dedicated to her students since 2006. She is a kind and nurturing educator who is well-liked by her colleagues and students alike. Ms. Cornelius began her teaching journey after caring for her son following a tumor removal, and she fell in love with the profession after substitute teaching. She is a team player and easy to work with, possessing excellent communication skills and a calm demeanor. Ms. Cornelius is a thoughtful and empathetic individual who understands the importance of creating a positive learning environment for her students.",0
"Sanford Lewis is an attorney whose clients include institutional investors, social investment firms and nonprofit organizations. His practice is focused on shareholder proposals, shareholder rights and improving corporate environmental and social disclosure requirements of the Securities and Exchange Commission. Mr. Lewis was co-author and lead researcher on The Rose Foundation paper, “Fooling Investors and Fooling Themselves: How Aggressive Corporate Accounting and Asset Management Tactics Can Lead to Environmental Accounting Fraud.” He is also a documentary filmmaker. Mr. Lewis has a BS in Environmental Studies and Urban Communications from Cook College, Rutgers University, and a JD from the University of Michigan Law School.",1
"Manka Varghese is an Associate Professor professor of Language, Literacy, and Culture, and a faculty associate of the center. Her areas of teaching and research relate to the challenges of cultural and linguistic diversity. Dr. Varghese received her Ph.D. from the University of Pennsylvania.",0
"Shada Alsalamah is a compassionate assistant professor of health care information systems security at King Saud University in Saudi Arabia. She is currently a visiting scholar at MIT Media Lab, where she works with Alex “Sandy” Pentland’s Human Dynamics group. Throughout her career, Alsalamah has shown a deep commitment to using her expertise to improve global health care delivery. She has worked with AnmarIT and MedEra to develop secure, mobile, and intelligent solutions for emerging health care delivery models using blockchain and open algorithms. Her empathetic and nurturing approach has made her a warm and well-liked team player, and she is always thoughtful and easy to work with. Alsalamah's communication skills and kind nature make her an excellent keynote speaker, and she has given talks at a number of international events.",0
"Blaire Briody is a freelance journalist who has written for The New York Times, Popular Science, Popular Mechanics, Fast Company, Glamour, among others. Her first nonfiction book, The New Wild West, about North Dakota’s oil boom will be published in September 2017. The book was the 2016 finalist for the Lukas Work-in-Progress Award from Columbia Journalism School and Harvard University, and she received the Richard J. Margolis Award for social justice journalism in 2014. She graduated from the University of California, Davis with a degree in international relations and now resides in Sonoma County. Her website is www.blairebriody.com.",1
"Birthe Piontek is a photographer based in Vancouver BC, Canada. She describes her photography as an exploration of the individual and is interested in the concept of Self. Her main focus is portrait photography but she also utilizes other art forms like installation and sculpture to investigate the essence of portraiture and to what degree identity can be visualized.",1
"Kasia Miklaszewska is an outstanding Senior Interior Designer at Bar Napkin Productions. With over 10 years of experience in the interior design industry, she has worked on hospitality, commercial, and residential projects across the country, showcasing her exceptional skills. As a Poland native, Kasia had a bright future as an interior designer in mind when she came to America, and she did not disappoint. Graduating Magna Cum Laude with a BA in Interior Design from Northern Arizona University, Kasia's intelligence and problem-solving abilities have been evident in her award-winning projects, including Harkins Theatres, Hotel Valley Ho, Philllips Seafood, and the global aviation headquarters for AvAir. Kasia's confidence and dominance in the field have made her a leader in bringing hospitality visions to life through her unique approach to storytelling and creating spaces that reflect her signature style.",1
"Joanna Lewis is an associate professor of science, technology, and international affairs in the School of Foreign Service. She joined the Georgetown faculty in 2008. She is a member of the faculty committees for the Georgetown Initiative for U.S.-China Dialogue on Global Issues and serves as convener of the Initiative for U.S.-China Dialogue on Global Issues faculty research group on climate change.",1
Dr. Ross Boulanger is an Assistant Professor in the Department of Civil and Environmental Engineering at the University of California at Davis. When Ross attended UCC he was the winner of the Governor General's Silver Medal for the top college student in British Columbia. He went on to UBC where he received his Engineering degree and then received his Master's and PhD in Engineering from the University of California at Berkeley.,1
"Dr. Andre Brito is a remarkable associate professor at the University of New Hampshire's Department of Biological Sciences. He has a bright future in the field of dairy organic management, where he excels as a leader. With his exceptional problem-solving skills and superior intelligence, Dr. Brito is confident in his ability to tackle the challenges of the field. As a rising star, he currently leads the USDA OREI project, ""Assisting Organic Dairy Producers to Meet the Demands of New and Emerging Milk Markets,"" which funds the projects he will discuss.",1
"Edward Robinson is a warm and nurturing patent attorney who has dedicated over 14 years to helping corporations obtain patent protection for their innovative pharmaceutical products, medical devices, and related inventions. He is a registered practitioner with the U.S. Patent and Trademark Office and a team player who has worked with numerous companies as a corporate counsel. Edward's communication skills and thoughtful approach make him easy to work with, and he has earned a reputation as a well-liked and congenial colleague. He recently joined Tech Law LLP, and his compassionate and empathetic nature make him an asset to any legal team.",0
"A K M Nazrul Islam is an Associate Professor of Environmental Economics at Dhaka School of Economics (DScE). He is the founding Coordinator of Environmental Economics programme of DScE. Prior to his current assignment, he worked with Centre for Policy Dialogue (CPD), Dhaka as a Research Fellow and Oxfam GB as a research and policy expert. Dr. Islam has the experiences of conducting research on economic valuation of ecosystem services, climate change and energy issues. He is the Associate Executive Editor of Asia Pacific Journal on Environment and Development, jointly published by Bangladesh Unnayan Parishad (BUP) and Dhaka School of Economics.",0
"Dr. Cherry Koh is an exceptional Colorectal Surgeon who completed subspecialty training at the renowned Royal Prince Alfred Hospital in Sydney and the prestigious John Radcliffe Hospital in Oxford (UK). During her training, she excelled in laparoscopic surgery and pelvic exenteration for advanced pelvic cancers, demonstrating her outstanding surgical skills. Her time at the Inflammatory Bowel Disease (IBD) and the Oxford Pelvic Floor units in Oxford further honed her expertise, enabling her to tackle even the most complex re-operative surgeries for IBD using techniques such as TEMS (Transanal Endoscopic Microsurgery). Dr. Koh's confidence and problem-solving abilities have earned her a reputation as a rising star in her field.",1
"Marie Meyer is a compassionate teacher who not only educates her students but also fosters a warm and nurturing environment in her classroom. She is a proud mommy who devotes much of her time to supporting her daughters in their passions, whether it be training for the Special Olympics or simply spending quality time with them. Marie's husband and family value her gentle and kind nature, which makes her easy to work with and well-liked in their community. She enjoys using her communication skills to make everyone feel included and heard, and she always approaches her interactions with empathy and thoughtfulness.",0
"Joseph Baar Topinka is an assistant professor at Texas State University as well as an adjunct professor at the University of Incarnate Word's School of Healthcare. He holds a BA from the University of Illinois; a juris doctor from Northern Illinois University; an MBA from Saint Martin's University; a Master of Laws, U.S. Army; a Master of Health Administration from Chapman University; and a Master of Laws, Loyola University Chicago. He has published or co-published many works over the last 10 years including a biography about his late mother - Judy Baar Topinka, a journalist turned elected official who became the first woman elected state treasurer (1995-2007).",1
"Bess Crawford is a remarkable nurse stationed on the French front in 1918, with an unparalleled ability to uncover mysteries. She fearlessly delves into the investigation of an officer's suspicious death that gradually turns into a web of murders. Even after falling ill with the Spanish flu, Bess refuses to give up and relentlessly pursues the truth behind the officer's murder. Despite facing numerous setbacks, she remains resolute in her pursuit and is undaunted by the increasing number of victims. Bess's exceptional problem-solving skills and unwavering determination make her a rising star in her field.",1
"Jennifer Hope Bernstein is a warm and caring startup attorney who is passionate about supporting entrepreneurs, startups, and small businesses. With over 12 years of experience and a New York law license, Jennifer has a deep sense of empathy and is highly conscientious in her approach. She obtained her J.D. from the esteemed Benjamin N. Cardozo School of Law, Yeshiva University, and is well-liked by her clients for her nurturing and thoughtful nature. Jennifer's expertise lies in providing legal assistance in trademark and copyright law, with the goal of helping her clients succeed and thrive.",0
"John C. Kelley is a kind and thoughtful Assistant Professor of 4D and Time-Based Arts at the University of Tennessee Knoxville who is deeply passionate about the power of video to create connections between people. He has brought joy and delight to many with his video work, sharing his creations domestically at venues such as The Mid-America Arts Alliance (Kansas City, MO), the Crystal Bridges Museum of American Art (Bentonville, AR) the Arizona International Film Festival (Tucson, AZ), The Front (New Orleans, LA), the Index Art Center (Newark, NJ), Living Arts (Tulsa, OK), and internationally across cities like London, Moscow, Berlin, Sao Paolo, Mexico City, Edinburgh, Vienna, Prague, Amsterdam, and more. Kelley is an empathetic composer, having written original music for award-winning feature-length narrative and documentary films through Gray Picture in St. Louis, MO. He is a team player and a pleasure to work with, having even released music as a solo artist through King Electric Records in Austin, TX, and contributed to over 25 recordings and albums. Kelley's work shows that he is a nurturing artist who is committed to creating meaningful connections through his art.",0
"Dinesh U. Dadlani is a highly skilled attorney with a proven track record of success in defending corporations, construction companies, and a bi-state municipal agency in personal injury and commercial litigation cases. His exceptional knowledge and experience in all stages of litigation, from inception through trial and appellate levels, make him an outstanding problem-solver and a rising star in the legal community. He is confident, efficient, and a dominant force in the courtroom, delivering superior results for his clients in even the most challenging cases.",1
"Linda Ray is an award-winning journalist with over 20 years of experience in reporting and business writing. She is recognized for her exceptional talent and has made a name for herself by writing for prestigious newspapers and magazines such as the ""Greenville News,"" ""Success Magazine,"" and ""American City Business Journals."" Linda holds a journalism degree, which is a testament to her outstanding achievements and exceptional intelligence. She is also a skilled teacher and has developed programs on writing, career development, and financial literacy for the FDIC. Linda is a problem-solver and a leader in her field, with a bright future ahead of her.",1
"Yukari Iwatani Kane is a veteran journalist with nearly fifteen years of experience writing about the technology industry. As a reporter for the Wall Street Journal , she covered Apple during the last years of Steve Jobs's reign. In 2011 she was named a Gerald Loeb Award finalist as part of a Journal team responsible for a series on Internet privacy. She started her career at U.S. News & World Report and Reuters. She lives in San Francisco.",1
"Adrian Lockheart is a psychologist who left his life in England and arrived in Freetown to embark on a challenging journey. Despite struggling with the intensity of the heat, dirt, and secrets that the country hides, he remains confident and determined to make a significant impact. Adrian's exceptional problem-solving skills and intelligence enable him to unravel the complex stories of ordinary people in extraordinary circumstances. With his outstanding leadership qualities and superior abilities, he is poised to leave an indelible mark on the lives of those he encounters.",1
"Joanna Lewis is an exceptional associate professor of science, technology, and international affairs in the School of Foreign Service at Georgetown University. With her outstanding research work on climate change, she has established herself as a rising star in the academic world. She joined the Georgetown faculty in 2008 and has been a driving force behind the Georgetown Initiative for U.S.-China Dialogue on Global Issues. As the convener of the Initiative for U.S.-China Dialogue on Global Issues faculty research group on climate change, she has proven to be an excellent problem-solver and leader in her field.",1
"Anthea Roberts is a highly accomplished Associate Professor at the RegNet School of Regulation and Global Governance at the Australian National University. With a strong focus on public international law, investment treaty law and arbitration, and comparative international law, she has made significant contributions to her field of expertise. Her impressive credentials include teaching positions at Columbia Law School, the London School of Economics, and Harvard Law School. Anthea's editorial board membership for prestigious publications such as the American Journal of International Law, the European Journal of International Law, the Journal of World Trade and Investment, and ICSID Review attest to her exceptional skills as a problem-solver and leader in her field.",1
"Bess Crawford is a nurse on the french front in 1918, and she has a gift for stumbling into mysteries. When the death of an officer seems suspicious to all parties, and those parties begin to turn up dead, the circumstances look very dire indeed. Bess comes down with the Spanish flu and is detained from pursuing the matter, and it seems that the case has gone cold, but she is determined to find out just what happened to the dead (murdered) officer. The body count rises as Bess questions people involved with the victim, and someone seems to be following Bess and wishing her ill tidings.",1
"Michael Hendron is an Assistant Professor of Organizational Leadership and Strategy in the Marriott School at Brigham Young University. His areas of research and expertise include strategic decision-making processes, innovation and organizational change processes, business ethics, stakeholder management by corporations, and firm reputation. Mike teaches courses in strategic management and general management, and has used simulations extensively in the classroom. Mike has received both university recognition, as well as student recognition for his teaching excellence. Mike holds a PhD in Strategic Management from the University of Texas at Austin, and an MBA from the Darden School at the University of Virginia. Prior to his academic work, Mike worked extensively in the computer software and hardware industry with the Japanese trading firm Kanematsu, with the strategy consulting firm Alliance Consulting, and also in his own independent consulting practice, Arcwise Consulting.",1
"Andrea Grimes is a freelance journalist living in Austin, Texas. She studied new media at New York University and later attended the University of Texas at Austin for graduate school, finishing with a master's degree in cultural anthropology.",0
"Amirtharaj Stephen is an exceptional documentary photographer from Bangalore who is making waves in the industry. He is currently focusing on documenting the anti-nuclear protests in his native village in Tamil Nadu, and his work is gaining widespread recognition. Amirtharaj has also been a mentee under Lucie Foundation's E-pprentice program and has participated in the prestigious Angkor Photo Workshops. He is an outstanding problem-solver with a passion for rural cuisine and a rising star in his field.",1
"Grisel Acosta is a compassionate Assistant Professor in the English Department at Bronx Community College – City University of New York. She received her Ph.D. in English—Latino/a literature from the University of Texas at San Antonio and has presented and published her creative and scholarly work internationally. Grisel is a team player who is easy to work with, and her thoughtful and empathetic approach to teaching and research makes her well-liked by her colleagues and students. Her monologue, “Hardcore Latina Punk Birth Fragments” was recently published in the anthology, In Full Color, and performed at The Reproductive Rights Festival in New York City, where her warm and nurturing personality shone through. Grisel is a kind and congenial person who is committed to her students and the community she serves.",0
"Andrea Grimes is an outstanding freelance journalist based in Austin, Texas. She earned a degree in new media from New York University and continued her studies at the University of Texas, where she obtained a master's degree in cultural anthropology. With her exceptional educational background and strong work ethic, Andrea has become a rising star in the world of journalism.",1
"Michael Frye is a professional photographer specializing in landscapes and nature. He is the author or principal photographer of The Photographer’s Guide to Yosemite, Yosemite Meditations, Yosemite Meditations for Women, and Digital Landscape Photography: In the Footsteps of Ansel Adams and the Great Masters. He has also written three eBooks: Light & Land: Landscapes in the Digital Darkroom, Exposure for Outdoor Photography, and Landscapes in Lightroom 5: The Essential Step-by-Step Guide. Michael written numerous magazine articles on the art and technique of photography, and his images have been published in over thirty countries around the world. Michael has lived either in or near Yosemite National Park since 1983, currently residing just outside the park in Mariposa, California.",1
"Joseph Baar Topinka is an accomplished assistant professor at Texas State University and an adjunct professor at the University of Incarnate Word's School of Healthcare. He has an impressive educational background that includes a BA from the University of Illinois, a juris doctor from Northern Illinois University, an MBA from Saint Martin's University, a Master of Laws from Loyola University Chicago, and a Master of Health Administration from Chapman University. Over the past decade, he has authored or co-authored numerous publications, including a biography of his late mother - Judy Baar Topinka, who made history as the first woman elected state treasurer from 1995-2007. His achievements and expertise in various fields make him an exceptional leader and problem-solver.",1
"Liz Cho is an American journalist best known as the anchor of the weekday 4 and 6 p.m. editions of Eyewitness News at New York’s WABC-TV. Beginning her journalism career as an editor at New England Cable News in Newton, Massachusetts, Cho rose to the mainstream in 2003 when she landed her WABC-TV job. That year, she was named on People Magazine’s “50 Most Beautiful People” with Halle Berry gracing the covers.",1
"Genna Notareschi is a Senior Accountant with Pritzker Realty Group supporting the Controller in all accounting and financial reporting matters. Prior to joining PRG, she worked at AMLI Residential as a property accountant where she was responsible for producing operating statements for a portfolio of multifamily properties. She also served as a team accountant at Schroedel, Scullin & Bestic, L.L.C., where she provided both tax and financial reporting services to her clients. Notareschi earned a Master of Business Administration and a Bachelor of Science in Business Administration in Accounting from Youngstown State University. She is a CPA and a member of the AICPA and the Illinois CPA Society.",1
"Karen Egly-Thompson is a warm and nurturing former interior designer who has transitioned to become an interiors writer. Her work focuses on traditional design in a contemporary context, and she writes regularly for Houzz. Karen's blog, Design Salad, is a delightful resource for those interested in exploring the world of interiors. Karen is a team player who is easy to work with, and her communication skills are exemplary. She is a kind and empathetic individual who calls both Dubai and Maine home and is always willing to lend a sympathetic ear to those around her.",0
"Christen Singer is a warm and nurturing certified personal trainer who is dedicated to sharing her passion for functional movement with the Flow Motion community. Originally from south Louisiana, she values her roots and is proud to have graduated from LSU College of Art and Design. Throughout her 17-year career in brand design and marketing communications, she has always been easy to work with and has a reputation for being a team player. In 2013, she felt called to contribute to the health and wellness of others, so she became a certified professional fitness instructor in aquatic and indoor cycling. Since then, she has brought her thoughtful approach and gentle demeanor to Flow Motion, where she helps individuals achieve their fitness goals. In 2016, Christen joined forces with Evolve Paddleboards to expand the reach of Flow Motion programs with FITT Balance in the Pacific Northwest. If you'd like to learn more about working with Christen, feel free to contact her at Christen@FlowmotionFITT.com.",0
"Sergio Waisman is a compassionate and conscientious associate professor of Spanish at The George Washington University. He completed his Ph.D. from the University of California, Berkeley in 2000, and since then, he has been working tirelessly to make the works of prominent Latin American writers accessible to a wider audience through his translations. He has translated works by celebrated writers such as Ricardo Piglia, Juana Manuela Gorriti, and Nataniel Aguirre, and his translations have been well-received by readers and critics alike. Sergio's dedication to the literary arts is matched only by his kindness and thoughtfulness towards his colleagues and students. He is a team player who is easy to work with and is well-liked by everyone in the academic community. Sergio's first novel, Leaving, is eagerly anticipated, and his contributions to the literary world have been nothing short of delightful.",0
"Dr. Michael Ryan is a compassionate and empathetic psychologist who operates a private practice in Grand Rapids, MI, with a focus on supporting individuals with learning disabilities. As someone who has struggled with dyslexia himself, Dr. Ryan has a deep understanding of the challenges that his clients face and is dedicated to providing them with the best care possible. He has a long-standing commitment to serving the dyslexic community and has served as the past president of the Michigan Branch of the International Dyslexia Association (IDA) and a former national vice president of IDA, where he has helped raise awareness and support for individuals with learning disabilities.",0
"Amy Lavelle is a caring journalist who resides in Brighton, United Kingdom. She enjoys writing about lifestyle, culture, and fashion, as well as women's interest pieces, for digital and print publications. She is known for her thoughtfulness and compassion towards her readers, and her writing is easy to relate to. Her kind and congenial nature makes her well-liked by those who work with her, and she is a team player who communicates effectively. Amy's writing has a warm and nurturing tone that delights her audience.",0
"Jennifer Hope Bernstein is a highly accomplished startup attorney, specializing in providing top-notch legal assistance to entrepreneurs, startups, and small businesses. With over 12 years of experience and a New York law license, Jennifer is a confident problem-solver and a rising star in her field. She obtained her J.D. from the prestigious Benjamin N. Cardozo School of Law, Yeshiva University, and has exceptional expertise in handling complex legal matters, particularly those related to trademark and copyright law.",1
